"Player","Team","Position","Over_Pass_Yards","Throw_TDs","Rec_Yards","Rec_TDs","Rush_Yards","Rush_TDs","xFP","xFP_per_game","Scheme_Balance","Position_Focus","Proj_Season_Pts","Percentile","Rookie"
"Dominic Lovett","WR","11.8%"
"Jimmy Horn Jr.","WR","7.6%"
"Kaden Prather","WR","3.6%"
"Junior Bergen","WR","2.1%"
"Colston Loveland","TE","97.69%"
"Harold Fannin Jr.","TE","88.5%"
"Terrance Ferguson","TE","84.47%"
"Elijah Arroyo","TE","80.45%"
"Mason Taylor","TE","79.88%"
"Mitchell Evans","TE","55.74%"
"Oronde Gadsden II","TE","53.44%"
"Gunnar Helm","TE","52.86%"
"Gavin Bartholomew","TE","25.28%"
"Jackson Hawes","TE","20.1%"
"Robbie Ouzts","TE","19.53%"
"Moliki Matavao","TE","18.96%"
"Thomas Fidone II","TE","17.23%"
"Luke Lachey","TE","11.48%"
"Caleb Lohner","TE","1.71%"
